party,topic,label_vorlaeufig,Nichtwahljahr,Wahljahr,diff,abs_diff,Wahljahr_pct,Nichtwahljahr_pct,diff_pct
AfD,4,Afghanistan / UN / Taliban,0.049869274690933364,0.053535636956755533,0.0036663622658221692,0.0036663622658221692,5.35,4.99,0.37
AfD,15,Russland / Ukraine / Osteuropa,0.053118775294525813,0.05083097776227057,-0.002287797532255241,0.002287797532255241,5.08,5.31,-0.23
AfD,7,Hartz / KfW / Sicherheit,0.04943996511522832,0.05125374202949405,0.0018137769142657287,0.0018137769142657287,5.13,4.94,0.18
AfD,13,DDR / Ostdeutschland,0.05138483593330684,0.049746834335427814,-0.001638001597879024,0.001638001597879024,4.97,5.14,-0.16
AfD,6,EU / IWF / internationale Wirtschaft,0.05024507404268132,0.05183354193207378,0.0015884678893924656,0.0015884678893924656,5.18,5.02,0.16
CDU/CSU,12,Chemnitz / Regionalbezüge,0.05343369124913802,0.0489771065412261,-0.004456584707911923,0.004456584707911923,4.9,5.34,-0.45
CDU/CSU,1,Brexit / Großbritannien / CETA,0.05019470746779335,0.05431993846654305,0.0041252309987497016,0.0041252309987497016,5.43,5.02,0.41
CDU/CSU,4,Afghanistan / UN / Taliban,0.05014347754280593,0.05365913363030801,0.003515656087502081,0.003515656087502081,5.37,5.01,0.35
CDU/CSU,3,EZB / Bundesbank / Finanzpolitik,0.04644003569119543,0.049313779556325175,0.0028737438651297437,0.0028737438651297437,4.93,4.64,0.29
CDU/CSU,11,Nahost / Israel / Iran,0.049498775253950154,0.04692028735652077,-0.002578487897429385,0.002578487897429385,4.69,4.95,-0.26
FDP,15,Russland / Ukraine / Osteuropa,0.05416009728901466,0.05018945611945743,-0.003970641169557226,0.003970641169557226,5.02,5.42,-0.4
FDP,12,Chemnitz / Regionalbezüge,0.05530930723707262,0.05925745201317397,0.0039481447761013505,0.0039481447761013505,5.93,5.53,0.39
FDP,4,Afghanistan / UN / Taliban,0.049926665659039166,0.05372706288422174,0.003800397225182571,0.003800397225182571,5.37,4.99,0.38
FDP,11,Nahost / Israel / Iran,0.04961745812735901,0.04668594668704521,-0.002931511440313797,0.002931511440313797,4.67,4.96,-0.29
FDP,13,DDR / Ostdeutschland,0.04977346389399485,0.047176662277753634,-0.0025968016162412136,0.0025968016162412136,4.72,4.98,-0.26
Grüne,15,Russland / Ukraine / Osteuropa,0.05537714993539085,0.05019957514524419,-0.005177574790146661,0.005177574790146661,5.02,5.54,-0.52
Grüne,3,EZB / Bundesbank / Finanzpolitik,0.046271873643876,0.05055298712842061,0.004281113484544609,0.004281113484544609,5.06,4.63,0.43
Grüne,2,Innere Sicherheit / BAMF / Cannabis,0.04798205939282366,0.05159282613837628,0.003610766745552614,0.003610766745552614,5.16,4.8,0.36
Grüne,4,Afghanistan / UN / Taliban,0.05235208690188701,0.05575218158678728,0.0034000946849002747,0.0034000946849002747,5.58,5.24,0.34
Grüne,12,Chemnitz / Regionalbezüge,0.05547245642585462,0.0583603986685994,0.00288794224274478,0.00288794224274478,5.84,5.55,0.29
Linke,1,Brexit / Großbritannien / CETA,0.048873390235269557,0.05249139295343888,0.0036180027181693247,0.0036180027181693247,5.25,4.89,0.36
Linke,12,Chemnitz / Regionalbezüge,0.05667643776792382,0.05314147177678921,-0.003534965991134606,0.003534965991134606,5.31,5.67,-0.35
Linke,2,Innere Sicherheit / BAMF / Cannabis,0.04860296819215745,0.05157200482817056,0.0029690366360131046,0.0029690366360131046,5.16,4.86,0.3
Linke,13,DDR / Ostdeutschland,0.050241376706838495,0.04770108763023538,-0.002540289076603114,0.002540289076603114,4.77,5.02,-0.25
Linke,14,Rechtsextremismus / Hanau / Lübcke,0.05061844343793471,0.048325891412102945,-0.0022925520258317636,0.0022925520258317636,4.83,5.06,-0.23
SPD,4,Afghanistan / UN / Taliban,0.05030046037502214,0.05501402935880658,0.004713568983784444,0.004713568983784444,5.5,5.03,0.47
SPD,3,EZB / Bundesbank / Finanzpolitik,0.04647319710107099,0.050627033768308814,0.004153836667237822,0.004153836667237822,5.06,4.65,0.42
SPD,1,Brexit / Großbritannien / CETA,0.04840504414484077,0.05236451758111181,0.003959473436271038,0.003959473436271038,5.24,4.84,0.4
SPD,15,Russland / Ukraine / Osteuropa,0.05324683377283762,0.04990880189388523,-0.0033380318789523883,0.0033380318789523883,4.99,5.32,-0.33
SPD,13,DDR / Ostdeutschland,0.050947853571371035,0.04840938007697001,-0.0025384734944010265,0.0025384734944010265,4.84,5.09,-0.25
